"Wavelength, µm",n,k
0.388,2.5800,0.129
0.390,2.5600,0.123
0.392,2.5500,0.119
0.394,2.5400,0.115
0.397,2.5300,0.112
0.399,2.5300,0.109
0.401,2.5200,0.107
0.403,2.5100,0.105
0.406,2.5000,0.103
0.408,2.5000,0.101
0.410,2.4900,0.0997
0.413,2.4800,0.0983
0.415,2.4800,0.0969
0.418,2.4700,0.0956
0.420,2.4700,0.0944
0.423,2.4600,0.0933
0.425,2.4600,0.0922
0.428,2.4500,0.0912
0.430,2.4500,0.0903
0.433,2.4400,0.0893
0.436,2.4400,0.0884
0.438,2.4300,0.0876
0.441,2.4300,0.0867
0.444,2.4200,0.0859
0.447,2.4200,0.0851
0.450,2.4200,0.0844
0.452,2.4100,0.0836
0.455,2.4100,0.0829
0.458,2.4000,0.0822
0.461,2.4000,0.0815
0.464,2.4000,0.0808
0.467,2.3900,0.0802
0.470,2.3900,0.0795
0.474,2.3900,0.0789
0.477,2.3800,0.0783
0.480,2.3800,0.0777
0.483,2.3800,0.0771
0.487,2.3700,0.0765
0.490,2.3700,0.0759
0.493,2.3700,0.0754
0.497,2.3600,0.0748
0.500,2.3600,0.0743
0.504,2.3600,0.0737
0.508,2.3600,0.0732
0.511,2.3500,0.0727
0.515,2.3500,0.0721
0.519,2.3500,0.0716
0.523,2.3400,0.0711
0.527,2.3400,0.0706
0.530,2.3400,0.0701
0.535,2.3400,0.0697
0.539,2.3300,0.0692
0.543,2.3300,0.0687
0.547,2.3300,0.0683
0.551,2.3300,0.0678
0.555,2.3200,0.0673
0.560,2.3200,0.0669
0.564,2.3200,0.0665
0.569,2.3200,0.066
0.574,2.3100,0.0656
0.578,2.3100,0.0652
0.583,2.3100,0.0647
0.588,2.3100,0.0643
0.593,2.3100,0.0639
0.598,2.3000,0.0635
0.603,2.3000,0.0631
0.608,2.3000,0.0627
0.613,2.3000,0.0623
0.619,2.3000,0.0619
0.624,2.2900,0.0615
0.630,2.2900,0.0611
0.635,2.2900,0.0608
0.641,2.2900,0.0604
0.647,2.2800,0.06
0.653,2.2800,0.0596
0.659,2.2800,0.0593
0.665,2.2800,0.0589
0.672,2.2800,0.0586
0.678,2.2800,0.0582
0.685,2.2700,0.0579
0.691,2.2700,0.0575
0.698,2.2700,0.0572
0.705,2.2700,0.0568
0.712,2.2700,0.0565
0.719,2.2600,0.0561
0.727,2.2600,0.0558
0.734,2.2600,0.0555
0.742,2.2600,0.0552
0.750,2.2600,0.0548
0.758,2.2600,0.0545
0.766,2.2500,0.0542
0.775,2.2500,0.0539
0.783,2.2500,0.0536
0.792,2.2500,0.0533
0.801,2.2500,0.053
0.810,2.2500,0.0527
0.819,2.2400,0.0524
0.829,2.2400,0.0521
0.839,2.2400,0.0518
0.849,2.2400,0.0515
0.859,2.2400,0.0512
0.870,2.2400,0.0509
0.881,2.2300,0.0506
0.892,2.2300,0.0503
0.903,2.2300,0.05
0.915,2.2300,0.0498
0.927,2.2300,0.0495
0.939,2.2300,0.0492
0.952,2.2300,0.0489
0.965,2.2200,0.0487
0.978,2.2200,0.0484
0.992,2.2200,0.0481
