"Wavelength, µm","n","k"
3.876,1.66,0.019
3.8911,1.66,0.02
3.9063,1.659,0.02
3.9216,1.659,0.019
3.937,1.658,0.018
3.9526,1.657,0.018
3.9683,1.656,0.019
3.9841,1.655,0.02
4,1.654,0.02
4.0161,1.653,0.019
4.0323,1.653,0.019
4.0486,1.652,0.02
4.065,1.651,0.021
4.0816,1.651,0.022
4.0984,1.651,0.021
4.1152,1.65,0.02
4.1322,1.649,0.021
4.1494,1.648,0.021
4.1667,1.647,0.023
4.1841,1.647,0.022
4.2017,1.646,0.022
4.2194,1.646,0.022
4.2373,1.646,0.022
4.2553,1.645,0.023
4.2735,1.644,0.023
4.2918,1.643,0.022
4.3103,1.643,0.021
4.329,1.642,0.021
4.3478,1.641,0.022
4.3668,1.64,0.022
4.386,1.638,0.021
4.4053,1.637,0.021
4.4248,1.636,0.021
4.4444,1.635,0.022
4.4643,1.634,0.023
4.4843,1.633,0.023
4.5045,1.632,0.022
4.5249,1.631,0.021
4.5455,1.63,0.023
4.5662,1.629,0.024
4.5872,1.628,0.024
4.6083,1.627,0.023
4.6296,1.626,0.022
4.6512,1.625,0.024
4.6729,1.624,0.025
4.6948,1.623,0.025
4.717,1.622,0.025
4.7393,1.621,0.024
4.7619,1.62,0.024
4.7847,1.619,0.025
4.8077,1.618,0.026
4.8309,1.616,0.025
4.8544,1.615,0.025
4.878,1.614,0.025
4.902,1.613,0.026
4.9261,1.611,0.027
4.9505,1.61,0.027
4.9751,1.609,0.027
5,1.608,0.026
5.0251,1.607,0.027
5.0505,1.606,0.028
5.0761,1.604,0.028
5.102,1.603,0.027
5.1232,1.602,0.027
5.1546,1.601,0.027
5.1817,1.599,0.028
5.2083,1.598,0.029
5.2356,1.597,0.028
5.2632,1.596,0.027
5.291,1.594,0.026
5.3191,1.593,0.027
5.3476,1.591,0.027
5.3763,1.589,0.027
5.4054,1.587,0.026
5.4349,1.585,0.025
5.4645,1.583,0.026
5.4945,1.581,0.027
5.5249,1.579,0.027
5.5556,1.577,0.026
5.5866,1.575,0.025
5.618,1.573,0.026
5.6497,1.57,0.027
5.6818,1.568,0.028
5.7143,1.566,0.027
5.7471,1.563,0.026
5.7803,1.561,0.026
5.814,1.558,0.027
5.848,1.556,0.028
5.8824,1.554,0.028
5.9172,1.551,0.028
5.9524,1.549,0.027
5.988,1.546,0.028
6.0241,1.543,0.029
6.0606,1.54,0.029
6.0976,1.538,0.029
6.135,1.535,0.028
6.1728,1.532,0.029
6.2112,1.529,0.03
6.25,1.526,0.031
6.2893,1.523,0.03
6.3291,1.52,0.029
6.3694,1.517,0.029
6.4103,1.513,0.03
6.4516,1.51,0.031
6.4935,1.507,0.031
6.5359,1.503,0.03
6.5789,1.5,0.029
6.6225,1.496,0.03
6.6667,1.492,0.031
6.7114,1.487,0.032
6.7568,1.483,0.031
6.8027,1.479,0.032
6.8493,1.474,0.031
6.8966,1.47,0.033
6.9414,1.465,0.034
6.971,1.461,0.033
7.0423,1.456,0.032
7.0722,1.451,0.032
7.1429,1.446,0.033
7.1942,1.441,0.034
7.2464,1.435,0.034
7.2993,1.43,0.034
7.3529,1.424,0.033
7.4074,1.418,0.034
7.4627,1.412,0.035
7.5188,1.405,0.036
7.5758,1.399,0.035
7.6336,1.392,0.035
7.6923,1.385,0.035
7.7519,1.378,0.036
7.8125,1.37,0.035
7.874,1.36,0.034
7.9365,1.351,0.035
8,1.342,0.037
8.0645,1.334,0.038
8.1301,1.323,0.038
8.1967,1.312,0.042
8.2645,1.305,0.044
8.3333,1.297,0.043
8.4034,1.287,0.04
8.4746,1.269,0.042
8.547,1.256,0.049
8.6207,1.249,0.053
8.6957,1.243,0.052
8.7719,1.229,0.049
8.8496,1.213,0.05
8.9286,1.197,0.052
9.009,1.185,0.053
9.0909,1.168,0.057
9.1743,1.151,0.058
9.2593,1.135,0.055
9.3458,1.113,0.061
9.434,1.093,0.064
9.5238,1.075,0.072
9.6154,1.064,0.076
9.7087,1.039,0.07
9.8039,1.014,0.076
9.901,0.988,0.074
10,0.963,0.082
10.101,0.938,0.08
10.2041,0.905,0.082
10.3093,0.87,0.083
10.4167,0.828,0.086
10.5263,0.786,0.092
10.6383,0.74,0.1
10.7527,0.692,0.108
10.8696,0.631,0.109
10.989,0.554,0.123
11.1111,0.475,0.145
11.236,0.37,0.185
11.3636,0.261,0.264
11.4943,0.174,0.377
11.6279,0.124,0.501
11.7647,0.103,0.619
11.9048,0.095,0.731
12.0482,0.096,0.837
12.1951,0.104,0.928
12.3457,0.112,1.005
12.5,0.115,1.076
12.6582,0.114,1.16
12.8205,0.116,1.252
12.987,0.123,1.338
13.1579,0.125,1.411
13.3333,0.123,1.486
13.5135,0.122,1.582
13.6986,0.129,1.692
13.8889,0.136,1.809
14.0845,0.141,1.902
14.2857,0.144,2
14.4928,0.15,2.121
14.7059,0.168,2.29
14.9254,0.204,2.482
15.1515,0.249,2.641
15.3846,0.284,2.776
15.625,0.301,2.928
15.873,0.341,3.262
16.129,0.451,3.751
16.3934,0.732,4.334
16.6667,1.088,4.895
16.9492,2.037,5.762
17.2414,5.146,5.648
17.5439,6.173,1.715
17.8571,4.361,0.222
18.1818,3.346,0.293
18.5185,2.606,0.379
18.8679,1.982,0.406
19.2308,1.298,0.308
19.6078,0.306,0.634
20,0.126,1.525
20.4082,0.135,2.215
20.8333,0.147,2.81
21.2766,0.137,3.165
21.7391,0.161,3.573
22.2222,0.222,4.127
22.7273,0.353,5.011
23.2558,0.644,6.176
23.8095,1.109,7.392
24.3902,2.014,9.319
